"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.1678e-11,6.0745e-08,0.16223,0.012502,8.5369e-07,-5.0384e-12,-3.1759e-07,-0.032666,-8.6662,1.3993e-09,0.00017016,0.016223,0.010887,41.25,-0.00038372,0.00068891,-0.00030519,-6.2732e-09,0.076617,-1.4275e-11,8.6664,0,0,0,1,2.3178e-05,0,2.3178e-05,0.01024
-2.1756e-11,5.3848e-08,0.16222,0.01227,8.5173e-07,-5.0259e-12,-3.1734e-07,-0.032724,-8.7356,1.4028e-09,0.0001693,0.016302,0.01085,41.25,-0.0003799,0.00068638,-0.00030648,-6.2387e-09,0.076894,-1.4254e-11,8.7357,0,0,0,1,2.3578e-05,0,2.3578e-05,0.01024
-2.1834e-11,4.6951e-08,0.16222,0.012037,8.4977e-07,-5.0134e-12,-3.1709e-07,-0.032782,-8.8049,1.4063e-09,0.00016844,0.016382,0.010813,41.25,-0.00037609,0.00068386,-0.00030777,-6.2042e-09,0.077172,-1.4233e-11,8.805,0,0,0,1,2.3977e-05,0,2.3977e-05,0.01024
-2.1913e-11,4.0054e-08,0.16222,0.011805,8.4782e-07,-5.0009e-12,-3.1683e-07,-0.03284,-8.8742,1.4098e-09,0.00016758,0.016462,0.010776,41.25,-0.00037227,0.00068133,-0.00030906,-6.1697e-09,0.077449,-1.4212e-11,8.8744,0,0,0,1,2.4377e-05,0,2.4377e-05,0.01024
-2.1991e-11,3.3157e-08,0.16222,0.011572,8.4586e-07,-4.9884e-12,-3.1658e-07,-0.032898,-8.9436,1.4133e-09,0.00016672,0.016541,0.010739,41.25,-0.00036845,0.0006788,-0.00031035,-6.1352e-09,0.077727,-1.419e-11,8.9437,0,0,0,1,2.4776e-05,0,2.4776e-05,0.01024
-2.2069e-11,2.626e-08,0.16222,0.01134,8.439e-07,-4.9759e-12,-3.1633e-07,-0.032956,-9.0129,1.4168e-09,0.00016587,0.016621,0.010703,41.25,-0.00036463,0.00067627,-0.00031164,-6.1007e-09,0.078005,-1.4169e-11,9.013,0,0,0,1,2.5176e-05,0,2.5176e-05,0.01024
-2.2147e-11,1.9363e-08,0.16222,0.011107,8.4194e-07,-4.9634e-12,-3.1608e-07,-0.033014,-9.0823,1.4204e-09,0.00016501,0.016701,0.010666,41.25,-0.00036081,0.00067374,-0.00031293,-6.0662e-09,0.078282,-1.4148e-11,9.0824,0,0,0,1,2.5576e-05,0,2.5576e-05,0.01024
-2.2226e-11,1.2466e-08,0.16222,0.010875,8.3998e-07,-4.9509e-12,-3.1582e-07,-0.033072,-9.1516,1.4239e-09,0.00016415,0.01678,0.010629,41.25,-0.000357,0.00067122,-0.00031422,-6.0317e-09,0.07856,-1.4127e-11,9.1517,0,0,0,1,2.5975e-05,0,2.5975e-05,0.01024
-2.2304e-11,5.5689e-09,0.16222,0.010642,8.3802e-07,-4.9384e-12,-3.1557e-07,-0.03313,-9.2209,1.4274e-09,0.00016329,0.01686,0.010592,41.25,-0.00035318,0.00066869,-0.00031551,-5.9972e-09,0.078837,-1.4106e-11,9.221,0,0,0,1,2.6375e-05,0,2.6375e-05,0.01024
-2.2382e-11,-1.3281e-09,0.16222,0.01041,8.3606e-07,-4.9259e-12,-3.1532e-07,-0.033188,-9.2903,1.4309e-09,0.00016243,0.01694,0.010555,41.25,-0.00034936,0.00066616,-0.0003168,-5.9627e-09,0.079115,-1.4084e-11,9.2904,0,0,0,1,2.6774e-05,0,2.6774e-05,0.01024
